Sehir,İlce,Mahalle,Fiyat,brüt metrekare,Net Metrekare,Oda Sayısı,Binanın Yaşı,Bulunduğu Kat
Balıkesir,Edremit,Güre Cumhuriyet Mahallesi,2500000,220 M2,200 M2,3+1,0 (Yeni),Müstakil
Antalya,Muratpaşa,Konuksever Mahallesi,799000,135 M2,125 M2,3+1,16-20,1. Kat
Ankara,Sincan,Malazgirt Mahallesi,630000,165 M2,150 M2,3+1,0 (Yeni),Yüksek Giriş
İstanbul,Beylikdüzü,Kavaklı Mahallesi,1099000,105 M2,100 M2,2+1,0 (Yeni),1. Kat
İstanbul,Beylikdüzü,Kavaklı Mahallesi,2200000,150 M2,145 M2,3+1,0 (Yeni),3. Kat
İstanbul,Beylikdüzü,Yakuplu Mahallesi,1250000,145 M2,135 M2,3+1,0 (Yeni),2. Kat
Muğla,Bodrum,Geriş Mahallesi,8500000,205 M2,200 M2,3+1,0 (Yeni),Bahçe Katı
İstanbul,Beylikdüzü,Marmara Mahallesi,1290000,110 M2,100 M2,2+1,1,3. Kat
Antalya,Alanya,Oba Mahallesi,1809000,185 M2,170 M2,3+1,4,1. Kat
İstanbul,Beylikdüzü,Sahil Mahallesi,3200000,185 M2,164 M2,3.5+1,0 (Yeni),Villa Tipi
Aydın,Didim,Hisar Mahallesi,1500000,260 M2,240 M2,4+1,4,3. Kat
Konya,Meram,Aydoğdu Mahallesi,1050000,175 M2,130 M2,3+1,4,Yüksek Giriş
Balıkesir,Edremit,Kadıköy Mahallesi,830000,160 M2,140 M2,3+1,1,1. Kat
İstanbul,Beylikdüzü,Cumhuriyet Mahallesi,825000,145 M2,130 M2,3+1,0 (Yeni),3. Kat
Balıkesir,Edremit,Akçay Mahallesi,485000,140 M2,130 M2,3+1,11-15,1. Kat
Balıkesir,Edremit,Akçay Mahallesi,650000,80 M2,70 M2,2+1,11-15,2. Kat
Balıkesir,Edremit,Akçay Mahallesi,445000,130 M2,120 M2,3+1,0 (Yeni),2. Kat
Balıkesir,Edremit,Akçay Mahallesi,605000,65 M2,60 M2,1+1,0 (Yeni),2. Kat
Balıkesir,Edremit,Akçay Mahallesi,700000,135 M2,125 M2,3+1,11-15,2. Kat
İzmir,Gaziemir,Fatih Mahallesi,1900000,143 M2,110 M2,2+1,0 (Yeni),Bahçe Katı
Balıkesir,Edremit,Akçay Mahallesi,725000,140 M2,130 M2,3+1,11-15,2. Kat
Ankara,Keçiören,Karakaya Mahallesi,579000,140 M2,125 M2,4+1,0 (Yeni),Düz Giriş
Balıkesir,Karesi,1. Sakarya Mahallesi,669000,96 M2,86 M2,2+1,0 (Yeni),3. Kat
Edirne,Keşan,Yeni Mahallesi,495000,115 M2,110 M2,2+1,11-15,6. Kat
